A	Coef.Sample.1 - Sample.2	t.Sample.1 - Sample.2	p.value.Sample.1 - Sample.2	p.value.adj.Sample.1 - Sample.2	F	F.p.value
DNM2	12.5388815	0.25642265	1.385916	0.1696558495	0.26968692324	2.8092236	0.0038353693
EHMT2	10.2809102	0.42142856	1.3855114	0.1697789774	0.26985543196	1.8944807	0.0523887571
PC	9.1126538	-0.49230787	-1.3854499	0.1697976983	0.26985797351	6.2661944	2.466e-07
TARBP2	9.0716092	-0.45992397	-1.3851431	0.1698911384	0.26997925311	3.7959133	0.0002162025
RNASE6	12.642514	-0.35341172	-1.3850718	0.1699128617	0.26998655244	5.9389542	5.779e-07
TRIP13	6.8356236	-0.46490907	-1.384674	0.1700340716	0.27015191553	4.3960626	3.88863e-05
HDAC9	9.177911	0.59985041	1.3833541	0.1704367368	0.27076437951	9.6968629	1e-10
PIKFYVE	10.0156396	0.52267668	1.3829479	0.1705607931	0.27093415236	1.288864	0.2463225591
NKX6.2	2.4870453	0.68882336	1.3825967	0.1706681002	0.27107099338	1.5695525	0.1241872305
PSD4	9.9189202	-0.43470541	-1.3825534	0.1706813361	0.27107099338	7.6944123	7.1e-09
AGPAT4.IT1	4.2595301	0.89489416	1.3819702	0.1708596794	0.27131850048	2.7553531	0.0044884942
LPAR5	11.5311415	0.59543281	1.3818792	0.1708875201	0.27131850048	39.8997258	0
PEX10	9.7037886	0.26584788	1.3818345	0.1709011973	0.27131850048	6.9529668	4.33e-08
PRKG1	2.3941866	0.75778252	1.3818187	0.1709060385	0.27131850048	4.9951491	7.3109e-06
PITPNM1	10.2923114	0.3679044	1.3813361	0.1710537408	0.27152563284	7.4074274	1.42e-08
CXCR2	7.1189686	0.8826578	1.3808212	0.1712114456	0.27173427121	13.9916817	0
UNKL	9.4990653	0.3056521	1.3807944	0.1712196591	0.27173427121	3.7069642	0.0002796179
ZNF782	6.1260089	0.70241758	1.3807032	0.1712476019	0.27175125385	2.6879887	0.005462587
MRAP	4.1530921	0.57226986	1.3802706	0.1713802083	0.27191269655	1.5988168	0.1151976483
RMI1	8.8537604	-0.54954828	-1.3802588	0.1713838416	0.27191269655	5.5235776	1.7397e-06
MAPKBP1	8.3549236	0.71597488	1.3798503	0.1715091235	0.272084076	0.9421703	0.5053583607
SLC9A6	10.231699	-0.26560439	-1.3797474	0.1715406963	0.27210677472	2.2708315	0.0182342559
NUTM2A	1.9806577	0.42285065	1.3796392	0.1715739087	0.27213206962	3.4872834	0.0005291218
UFSP1	4.810766	-0.61777659	-1.3794294	0.1716382886	0.27220678877	1.4008631	0.1890458476
FDX1	8.6773955	-0.29058502	-1.3792745	0.1716858573	0.2722548341	8.2690113	1.8e-09
VPS36	10.7107847	-0.20213816	-1.3789488	0.171785896	0.27238606703	4.2854282	5.31981e-05
C21orf91	7.4506111	0.66354845	1.3788779	0.1718076597	0.27239317209	6.2956786	2.285e-07
MROH1	10.1488013	-0.47521572	-1.3784987	0.171924188	0.27255050561	3.8024207	0.0002121778
RAD51AP1	7.5788644	-0.57132296	-1.3773825	0.1722675191	0.27306732063	7.8829528	4.5e-09
NDST1.AS1	2.2984334	-0.44154638	-1.3769455	0.1724021024	0.27324388346	10.3639941	0
PMAIP1	7.9912001	0.73156193	1.3769082	0.1724135792	0.27324388346	6.7862681	6.56e-08
ATRIP	9.1437183	-0.28789259	-1.3763523	0.1725848863	0.27348787381	2.6391677	0.0062969151
RUFY4	3.2525141	0.9083284	1.3762924	0.1726033596	0.27348965026	13.5529377	0
ADAM17	10.9193238	-0.36854474	-1.3762075	0.1726295378	0.27350125408	2.6647704	0.0058447488
SLX4IP	8.2868315	0.44696972	1.3761561	0.172645389	0.27350125408	6.7688009	6.86e-08
PTPRG	5.8811213	1.05785819	1.3760094	0.1726906254	0.27354542176	1.2209268	0.2872988241
PIGT	11.9780035	-0.23870687	-1.3756285	0.1728081221	0.27370403106	5.1406489	4.9056e-06
UBE2MP1	3.3554715	-0.42170555	-1.375424	0.1728712266	0.27377646733	4.4620172	3.22815e-05
OS9	13.0052458	0.22369527	1.3752999	0.1729095375	0.27380962732	8.8905419	4e-10
VTN	3.921068	0.89657795	1.3749287	0.1730241773	0.27396363853	5.2913394	3.2547e-06
RAB39A	7.7196803	-0.56772293	-1.3746265	0.1731175202	0.27408390109	15.1366965	0
GNAT2	4.1563936	0.71301147	1.3743415	0.1732056104	0.27419582421	5.4843598	1.9329e-06
DDX43	2.8345615	0.59856273	1.3739318	0.1733322836	0.27433063686	1.8358006	0.0614781755
PNMA6A	3.5859777	0.75661827	1.3739011	0.1733417797	0.27433063686	4.1606779	7.58706e-05
SLC9B1	7.4603248	-0.26822571	-1.3738278	0.1733644409	0.27433063686	7.2355325	2.15e-08
PXMP4	7.8138184	-0.61089371	-1.3738245	0.1733654731	0.27433063686	5.1214652	5.1697e-06
AKAP8	9.8858383	0.29108311	1.3737847	0.173377798	0.27433063686	4.9790742	7.6417e-06
AP5B1	9.8397786	-0.58144394	-1.3730429	0.1736073666	0.27464341133	7.8972569	4.4e-09
RPS26	7.8030163	-0.33658312	-1.3730334	0.1736103234	0.27464341133	1.6006864	0.1146436342
EXO5	7.7788729	-0.53361303	-1.3729097	0.1736486306	0.27467644181	2.295174	0.0170085632
AKR7A2P1	2.3706898	0.50208867	1.372605	0.1737430294	0.27479629669	1.8144914	0.0651303447
LAYN	2.8712378	-0.74289616	-1.372491	0.1737783544	0.27479629669	10.7523606	0
ERRFI1	7.1132607	0.72822979	1.3724381	0.1737947335	0.27479629669	11.5032569	0
MATR3	13.0549548	0.20038326	1.3724236	0.1737992387	0.27479629669	13.9697147	0
MMAA	7.8302663	-0.65275998	-1.3723838	0.1738115781	0.27479629669	1.2288613	0.2822613413
RRM2B	10.3050259	-0.42131525	-1.3721797	0.1738748202	0.27486871032	2.4940942	0.009593494
RPL13AP20	4.0510002	0.48856571	1.3721145	0.1738950553	0.27487312873	2.7384274	0.0047156751
KDM5B	9.8265888	0.44174752	1.3720545	0.173913643	0.27487494265	5.1006447	5.4728e-06
ING2	7.5569692	-0.51455275	-1.3719819	0.1739361607	0.27488296687	2.6889971	0.0054465616
ZNF583	7.2402669	0.56441358	1.3715041	0.1740843787	0.27508962228	5.2743755	3.408e-06
C4orf36	3.2378718	0.58048024	1.3712902	0.1741507728	0.27516695042	4.9087001	9.2789e-06
TMEM14A	7.2252576	0.56012502	1.3711258	0.1742017867	0.27521996392	11.4961034	0
ITGA7	6.1146996	-0.56326221	-1.3710111	0.1742374173	0.27524866533	6.2265898	2.732e-07
CELF2	12.8095471	0.28153012	1.3708996	0.1742720288	0.27527575127	5.3479374	2.792e-06
PIN1	10.101652	-0.24683929	-1.37075	0.1743185	0.27532156316	11.994112	0
NAIP	9.8488243	0.48646919	1.3701039	0.1745192847	0.27561106678	4.6208086	2.06653e-05
THAP4	9.0824891	-0.40471571	-1.3698263	0.1746056134	0.27571977487	1.6244769	0.1078000403
ORC3	9.5703745	-0.25271962	-1.3694662	0.1747176221	0.2758690084	4.4518748	3.32178e-05
PRPF38A	10.2302911	-0.1962135	-1.3693076	0.1747669806	0.27591930089	6.1723699	3.143e-07
RPP21	8.4662947	-0.32828498	-1.3688034	0.174923969	0.27613949068	5.5231301	1.7418e-06
KLHL7	9.4247587	-0.26458704	-1.3686515	0.174971275	0.27618650634	6.0161549	4.721e-07
MRPS25	10.3940677	-0.20288981	-1.3683614	0.1750616599	0.27630150422	4.978759	7.6483e-06
CHEK1	6.9398236	-0.37377018	-1.3681204	0.1751367658	0.27639236664	3.6215202	0.0003581983
PTGDR2	6.0962731	-0.5851791	-1.3678316	0.1752268079	0.27650168284	4.9446219	8.4029e-06
CTAGE10P	1.8077103	0.39313661	1.3677857	0.1752411211	0.27650168284	1.1069239	0.3670998078
FRMD4B	10.9581958	0.51451185	1.3672414	0.1754109434	0.27671913993	6.7229849	7.69e-08
CHDH	3.665985	0.85446105	1.3672314	0.1754140554	0.27671913993	4.8931806	9.6856e-06
KCNA3	3.1743196	-0.86743036	-1.3671152	0.1754503355	0.27673457669	16.8769565	0
ZNF649.AS1	4.8120145	0.54669006	1.3670876	0.1754589572	0.27673457669	3.9712993	0.0001304638
ACVRL1	4.9735986	-0.76701668	-1.3670076	0.1754839397	0.27674628515	25.062285	0
ABCC5	10.0793638	0.5658275	1.3667974	0.1755495558	0.27682206589	5.3631093	2.6798e-06
ZXDC	8.0662236	0.69929292	1.3666808	0.1755859958	0.27685182878	3.1758736	0.0013128248
GLRA1	1.5859559	0.50424366	1.3659118	0.1758263031	0.27720299723	1.1473169	0.3372430477
ATP6AP1L	5.3717711	0.6727854	1.3653517	0.1760014962	0.27740136599	1.1566215	0.3306099739
TNK1	4.0808971	-0.58354716	-1.3653018	0.176017092	0.27740136599	3.1513346	0.0014104799
SLC6A16	3.5355232	0.73630597	1.3652862	0.17602199	0.27740136599	3.2943019	0.0009287966
PEMT	8.3117521	-0.46313691	-1.3652845	0.1760225278	0.27740136599	1.7925508	0.0691016551
LMBR1L	10.3140346	0.52221911	1.3651389	0.1760680869	0.27744542265	7.8713182	4.7e-09
RHBDD1	9.5818238	-0.49565027	-1.3646034	0.1762357522	0.27768080247	3.9266792	0.0001483143
LINC02001	7.0578662	0.39950553	1.3645493	0.1762526964	0.27768080247	4.3905341	3.94987e-05
SLC25A13	9.573741	-0.47022459	-1.3641049	0.1763919563	0.27787242616	2.8550204	0.003355093
C9orf24	2.7933726	0.81492664	1.3640183	0.1764190804	0.27788738012	2.979147	0.0023339483
RPRD1B	9.562623	-0.38582222	-1.3637985	0.176488004	0.27796816537	1.7823585	0.0710221919
BTBD7	9.7114404	0.51057465	1.3636767	0.1765261868	0.27800052256	2.9936438	0.0022370522
RHCE	6.1697167	-0.44744148	-1.3633893	0.1766163301	0.2781128626	3.1210255	0.0015412047
NICN1	9.3533076	0.64667232	1.3633368	0.1766328123	0.2781128626	2.9896363	0.0022634287
C2orf16	3.77274	-0.93603505	-1.3625768	0.1768713766	0.27846066992	2.5246251	0.0087817379
STK36	8.8625005	0.53771079	1.3623174	0.1769528692	0.27856114381	15.9884097	0
ZNF121	8.3076495	0.63164383	1.362184	0.1769947769	0.27859928881	2.4596405	0.0105984785
BRD9	9.3389691	0.26329746	1.3618081	0.1771129417	0.27875744692	2.2901253	0.0172559844
GPR83	2.0783984	0.49426401	1.3614711	0.1772189205	0.27889639603	2.0221306	0.0368109411
LGALS9B	1.9761478	-0.46869922	-1.3612915	0.1772754021	0.27895742932	3.6629114	0.0003176797
POLG2	7.872834	0.54019256	1.361155	0.1773183571	0.27899716751	10.6424107	0
ZNF233	4.9898897	0.82625156	1.3607625	0.177441907	0.27916369492	2.4024465	0.0124998227
ZDHHC21	8.5529737	0.49763445	1.3605089	0.1775217684	0.27924244874	14.468365	0
TRIM72	2.4615116	0.53246494	1.3604313	0.1775461991	0.27924244874	6.6326543	9.67e-08
AAMDC	7.7006589	-0.3330045	-1.3604118	0.1775523455	0.27924244874	5.2494756	3.6465e-06
PPP4R3A	10.2721173	0.391331	1.3603479	0.1775724841	0.27924244874	1.8872343	0.0534384856
MCM7	10.7948703	0.43180474	1.3603223	0.177580551	0.27924244874	3.5589112	0.000429619
CEACAM1	5.2623293	-1.0090168	-1.3587148	0.1780875055	0.28001168937	10.4223657	0
GDF9	7.6260289	0.35634304	1.3584815	0.1781611632	0.28009956036	2.7437538	0.0046429779
TET2.AS1	2.4192936	0.65652785	1.3581275	0.1782729908	0.28024741747	3.0085104	0.002141857
ZNF544	8.4089184	0.49988537	1.3578683	0.1783549023	0.28034822125	2.3041317	0.0165780555
SV2B	3.1759435	0.79657877	1.3573132	0.1785304421	0.28057042201	3.2349848	0.0011045146
PRKY	5.0207399	1.44412288	1.3572603	0.1785471529	0.28057042201	2.1813287	0.0235238977
ENOX2	9.338839	-0.53820151	-1.3572524	0.178549669	0.28057042201	0.5296043	0.8776958231
PRR16	2.4181774	-0.63750289	-1.3571725	0.1785749484	0.28058217145	17.531269	0
CENPM	6.3347668	-0.78220446	-1.3567507	0.1787084195	0.28074795609	4.7725774	1.35317e-05
DIRC2	9.7299465	-0.34010214	-1.3567182	0.1787187093	0.28074795609	7.7011973	7e-09
LHFPL5	3.7586386	-0.48321227	-1.3566702	0.1787338996	0.28074795609	4.3731935	4.14839e-05
EFCAB5	3.0542208	-0.46451313	-1.356549	0.1787722782	0.28078025683	9.4061896	1e-10
OXTR	2.419601	0.62421693	1.3561256	0.1789063881	0.28096289195	4.5233542	2.71626e-05
SERTAD2	9.1016104	0.60720134	1.3560101	0.1789429763	0.28099235331	1.9023203	0.0512750188
MID1IP1.AS1	2.0695888	-0.56310075	-1.3541886	0.1795208434	0.28187168894	2.1035487	0.0293040102
TAF5	8.1039151	-0.27212892	-1.3536272	0.1796992257	0.28211969595	2.634446	0.0063840073
IMPDH2	10.3808328	-0.19824442	-1.3535789	0.179714596	0.28211969595	9.7571578	1e-10
DENND4B	11.1259266	0.34914061	1.3527497	0.1799783367	0.28250224274	4.9453525	8.3859e-06
MMP25	7.0296641	-0.80512658	-1.3527	0.1799941325	0.28250224274	14.9958312	0
TP53TG5	3.9605897	0.63245187	1.3523557	0.1801037432	0.28264613126	2.2035067	0.0220889568
TM4SF19.TCTEX1D2	5.4874258	-0.73077325	-1.3522799	0.1801279056	0.28265590606	3.2478629	0.0010637261
GNA14	1.9917842	-0.64608695	-1.3521645	0.180164644	0.28266477634	2.9391592	0.0026235042
CWF19L2	8.7550134	0.43669235	1.3521119	0.1801814114	0.28266477634	2.4384746	0.0112664706
FBXO10	7.5935182	0.46570578	1.3520932	0.1801873617	0.28266477634	5.6647479	1.1931e-06
PAXBP1.AS1	6.9376992	0.57888487	1.3516003	0.1803443968	0.28288296549	4.4393422	3.4413e-05
C12orf73	7.1614038	0.39737842	1.3513952	0.1804097978	0.2829573911	1.2408932	0.2747503619
ARPC1A	10.8734431	-0.186081	-1.3509387	0.1805553708	0.2831575322	13.3691361	0
ANKIB1	8.9441708	0.39387071	1.350661	0.1806439816	0.2832662584	3.3349808	0.0008247972
CHMP1B	11.3743108	-0.25395547	-1.3506088	0.1806606452	0.2832662584	1.7889253	0.0697791993
SLX1A	2.3259062	0.46831073	1.3505472	0.1806803107	0.28326891243	5.5356563	1.6843e-06
SULF2	7.3556239	0.66379339	1.350074	0.1808314044	0.28345240303	29.7880705	0
CALML4	9.8267298	-0.43567551	-1.350068	0.1808333172	0.28345240303	2.4317958	0.0114857088
KCNJ15	3.2275152	0.60917607	1.3494767	0.1810222351	0.28372031095	45.0156323	0
FAM86HP	3.1654473	0.6252246	1.3492651	0.1810898801	0.28379811078	2.568222	0.0077387167
LIG1	9.4163982	0.55835351	1.3491011	0.1811423255	0.28383251408	8.4734038	1.1e-09
PDE6H	2.3055044	0.64369755	1.3490839	0.1811478497	0.28383251408	14.459297	0
CTPS2	8.7957107	0.56864185	1.3489782	0.1811816348	0.28385723123	7.9256032	4.1e-09
HIPK4	2.1826914	0.57413351	1.3489039	0.1812054099	0.2838662623	2.5803027	0.0074720013
EFHD2	12.0114617	-0.4731548	-1.3488203	0.1812321545	0.28387994301	12.625863	0
NCAPG2	8.0490973	-0.71468518	-1.3480448	0.1814804025	0.28424054687	4.1786933	7.20714e-05
MYCL	9.4460725	0.54216197	1.3473257	0.1817108088	0.28457313774	15.5912919	0
PQLC2	10.1039006	-0.25837958	-1.3464765	0.1819831674	0.28497135636	4.1584992	7.63436e-05
EID2B	6.4114634	0.55124025	1.3463216	0.1820329053	0.28502092392	2.5316033	0.0086059254
CLCN7	11.9713254	-0.35722136	-1.3458404	0.1821874055	0.2852344987	3.7231067	0.0002668529
LINC01144	3.4687904	0.63380906	1.345585	0.1822694377	0.28533458557	3.5274857	0.0004707164
PFKFB2	9.8875344	0.55179576	1.3444983	0.1826188666	0.28585320855	2.2201544	0.0210679717
FGFR1OP	8.5792403	0.41208887	1.3442652	0.1826938776	0.28594222483	8.9620813	4e-10
RPLP2	12.1716648	-0.4318656	-1.3441269	0.1827384083	0.28598352227	7.2686974	1.99e-08
SPAG9	10.4636755	0.48830885	1.3435561	0.1829222288	0.28624277689	1.5099193	0.1444555956
CNOT10	9.4624532	-0.37188592	-1.3433921	0.1829750914	0.28629707287	1.7534978	0.0767325665
FAM53C	11.0317286	0.32234395	1.3430205	0.1830948717	0.28645605257	1.8948701	0.0523329001
EEFSEC	9.0549048	-0.36337745	-1.3428716	0.1831428642	0.286502698	2.3867429	0.0130779773
UBR4	11.0542239	-0.30046763	-1.3427347	0.1831870275	0.28654334458	4.2801619	5.39995e-05
CSMD2	2.2597782	0.76174261	1.3425091	0.1832597847	0.28662339012	4.6975111	1.66782e-05
SLC35E4	7.6563495	-0.51813578	-1.3424633	0.1832745718	0.28662339012	0.9329217	0.5137917063
CAPZB	13.5588503	-0.23913279	-1.3417571	0.1835025218	0.28693767575	3.8351023	0.0001930806
TMEM106A	10.9569288	-0.31529439	-1.341728	0.1835119454	0.28693767575	18.9642199	0
IDH1.AS1	4.0066937	-0.63998272	-1.3409799	0.1837536618	0.28728712065	2.886956	0.0030561078
RSRP1	11.0220994	0.69448586	1.3401447	0.1840238139	0.28768094931	6.8061001	6.24e-08
ATE1.AS1	4.1893191	0.64527534	1.3399498	0.1840868884	0.28775101137	3.672903	0.0003086121
FERMT2	5.935668	-0.86321448	-1.3396812	0.1841738654	0.28785841849	4.5297239	2.66806e-05
LINC01482	1.9419348	0.46517259	1.3391476	0.1843467452	0.28810005464	4.9349276	8.6306e-06
KRT8	5.4860993	0.73156541	1.338555	0.1845388385	0.28837166701	6.2097072	2.853e-07
CYB561D1	9.0281701	-0.42417488	-1.3379753	0.1847269269	0.28863696783	3.6810543	0.0003014084
MFSD3	8.2527143	0.50679686	1.3378607	0.1847641314	0.28866648251	2.7379354	0.0047224481
CHCHD6	7.5131452	0.59587212	1.3376518	0.184831944	0.28874380703	4.3811923	4.05559e-05
LSM14A	11.0872885	-0.15437933	-1.3372059	0.1849767961	0.28894145524	11.8918168	0
BCDIN3D	7.5150079	-0.60406937	-1.3370828	0.1850167797	0.28897527157	2.1986715	0.0223943778
ICA1	9.3541433	0.3307266	1.3367332	0.1851304205	0.28912411387	17.6604907	0
NDUFC2	11.1661058	-0.29888667	-1.3361012	0.1853359724	0.28941645306	4.6779454	1.76143e-05
ZNF610	4.6332767	0.74277663	1.3359969	0.1853699152	0.28944077996	4.8615117	1.05726e-05
NSUN3	7.5844703	-0.59896495	-1.3359122	0.1853974823	0.2894551479	2.2998769	0.0167812016
APAF1	10.4778678	0.43889401	1.3355931	0.1855013655	0.28957866532	3.9505182	0.0001384898
FER1L4	1.8472106	0.60691893	1.3355563	0.185513342	0.28957866532	4.4138775	3.69776e-05
C12orf4	9.2930409	-0.40852674	-1.3353465	0.1855816519	0.28964082294	11.8810722	0
FANCF	7.8646937	-0.70046032	-1.3353016	0.1855963049	0.28964082294	1.4864825	0.153183206
ZNF142	8.8323815	0.60852856	1.3352648	0.1856082934	0.28964082294	4.6943556	1.68257e-05
RSBN1L	9.5165202	0.41048904	1.3345814	0.1858309922	0.28995963455	2.836066	0.0035461445
IFT80	7.7368169	0.4250743	1.3343097	0.1859195958	0.29006916944	8.5084848	1.1e-09
DHRSX	5.9544641	-0.3956761	-1.3341797	0.1859619934	0.29010659987	4.4729173	3.1305e-05
TSNARE1	7.3677248	0.67516563	1.3338222	0.1860786306	0.29025982748	2.7158239	0.0050369615
CDK9	10.890229	0.46728992	1.3335451	0.1861690807	0.29037218027	8.06025	3e-09
SIRT6	6.6573576	0.4447825	1.3334502	0.1862000672	0.29039177319	7.1484162	2.67e-08
MDGA1	2.8725743	0.92593532	1.3330773	0.1863218825	0.29055300195	6.8393259	5.75e-08
ALKBH1	8.8383255	-0.41417473	-1.3329271	0.1863709509	0.29060076739	4.8960706	9.6085e-06
TESC	9.702643	-0.4765971	-1.33278	0.1864190013	0.29064693636	13.6909867	0
MORN4	5.5734678	0.71577126	1.3326925	0.1864475964	0.29066276633	3.7884357	0.0002209226
C2	11.3601494	-0.65296918	-1.3320583	0.1866549713	0.29094608966	24.1713498	0
AVPI1	7.2106791	-0.56319119	-1.3320238	0.1866662559	0.29094608966	5.053884	6.2212e-06
TAS2R43	2.1197388	0.50616837	1.3319443	0.1866922785	0.29095787608	3.1843249	0.0012807856
IFI6	10.8590585	-0.77764864	-1.3314397	0.1868574392	0.29118648395	6.0811964	3.984e-07
PIGX	7.7611999	-0.37070743	-1.3308548	0.1870489776	0.29145614787	9.368966	2e-10
COG4	10.7035551	0.21875933	1.3306489	0.187116469	0.29152683242	2.5717229	0.0076604714
RNPEP	11.3257896	-0.30506166	-1.3305483	0.187149438	0.29152683242	9.571891	1e-10
CD40	10.1956148	-0.55459744	-1.3305471	0.1871498313	0.29152683242	9.7468222	1e-10
ULK1	8.4334821	0.66964698	1.3301584	0.1872772648	0.29169650864	3.1907619	0.0012569097
BNIP1	7.9693138	-0.27676129	-1.3299889	0.1873328619	0.29175427238	1.851195	0.0589599983
ZNF605	7.5455155	0.59015749	1.3299135	0.1873576016	0.29176397178	3.5680858	0.000418317
BAG2	7.5775483	0.50870862	1.3297262	0.187419054	0.29183083476	3.6412373	0.0003382845
ACOX3	9.4162065	-0.25145065	-1.3296485	0.1874445551	0.29183898518	3.0406657	0.0019495802
ALKBH4	8.4925377	-0.44472414	-1.3295974	0.1874613214	0.29183898518	3.6926276	0.0002914709
RPL13	12.8283012	-0.35798333	-1.3294267	0.1875173459	0.29189737168	10.9492172	0
FAR2P2	3.5645045	-0.51109603	-1.3288837	0.187695643	0.29214606248	14.7218004	0
HIBADH	9.7845238	-0.26619668	-1.3287954	0.1877246481	0.292162356	8.1304181	2.5e-09
CDK18	7.7902638	-0.63230085	-1.3286705	0.187765686	0.29216811399	9.1970241	2e-10
SETD4	8.3091162	0.48108341	1.3286644	0.1877676805	0.29216811399	9.3104883	2e-10
LMF2	10.6511499	0.41038541	1.3286149	0.1877839601	0.29216811399	5.825551	7.79e-07
POLR1C	8.9807381	-0.29299785	-1.3284825	0.187827459	0.29220694718	1.5139259	0.1430078791
ADAM8	8.1282152	-0.81370731	-1.3275428	0.1881365049	0.29263963033	25.4002866	0
TTC30B	6.018166	-0.65511245	-1.3274297	0.1881737366	0.29263963033	3.9034102	0.0001585838
SEMA6B	8.1189451	0.5569963	1.3274187	0.1881773693	0.29263963033	12.1469082	0
MCM8.AS1	1.8801721	0.43589401	1.3274111	0.1881798524	0.29263963033	3.9281824	0.0001476745
FAM66B	2.3312679	0.57729225	1.3272845	0.1882215264	0.2926755601	1.5936913	0.1167287719
PAFAH2	9.5827539	-0.425863	-1.3271823	0.1882551882	0.29269269318	1.2030752	0.2988783285
AGTPBP1	9.7616346	-0.53113258	-1.327067	0.1882931411	0.29269269318	8.7286284	6e-10
HCFC1R1	9.1485358	-0.27727655	-1.327057	0.1882964188	0.29269269318	11.7403881	0
CPB2	2.0850571	0.51372305	1.3270254	0.1883068275	0.29269269318	2.4247101	0.0117228888
DGKH	6.5321591	-0.63350098	-1.3268134	0.1883766556	0.29277235668	4.0392491	0.0001073593
PARD6A	5.4952907	-0.6381711	-1.3265471	0.1884644041	0.29287985344	6.1387853	3.43e-07
C1QB	14.5227197	0.47543499	1.3259645	0.188656451	0.29314939602	42.2066266	0
PORCN	7.8785662	0.49382325	1.3258362	0.1886987621	0.29317845682	1.3191184	0.2296210061
CRBN	10.3364577	-0.20392982	-1.3257883	0.1887145523	0.29317845682	5.9505536	5.606e-07
CARMN	2.0541912	0.52394165	1.3257385	0.1887309576	0.29317845682	3.2835183	0.0009585108
LINC01569	4.9371339	-0.55418296	-1.3255259	0.1888010945	0.29325850497	10.8246879	0
PARD6G.AS1	2.1470672	0.65197848	1.3254388	0.1888298653	0.29326632173	2.92797	0.0027107651
TERF2IP	11.10852	0.24718472	1.3253826	0.1888484047	0.29326632173	9.0094502	3e-10
SLC25A28	8.12863	0.61745552	1.3253415	0.1888619482	0.29326632173	1.8432986	0.0602393415
GABARAPL3	1.5749793	-0.35421308	-1.3249632	0.1889868294	0.29343132869	2.3036996	0.0165985777
RAD1	9.0260491	-0.29377313	-1.3246341	0.1890955417	0.29357120105	0.7290655	0.7075565523
APOBEC3F	7.6962515	0.38808145	1.3238979	0.1893388328	0.29390056893	8.3349011	1.6e-09
TMEM139	1.9784362	0.5865781	1.3238793	0.1893449893	0.29390056893	2.630576	0.0064562793
SPRYD7	7.7780248	-0.48200231	-1.32377	0.189381123	0.29392770855	7.0365756	3.52e-08
ZNF395	7.6273878	0.61255404	1.3235116	0.18946659	0.29403140262	6.4406742	1.575e-07
COL23A1	4.9402944	-0.66976721	-1.3233561	0.1895180526	0.29406655984	5.5876417	1.4656e-06
NUTM2A.AS1	7.1569195	-0.34331723	-1.3232935	0.1895387745	0.29406655984	1.9375454	0.0465412355
VEGFB	8.7367737	0.58000559	1.3232275	0.1895606132	0.29406655984	3.120462	0.0015437471
MELTF	6.3522312	-0.78792715	-1.3232176	0.1895638759	0.29406655984	7.4101962	1.41e-08
UNK	8.9719088	0.35627656	1.3228019	0.1897015095	0.29425045566	4.4732342	3.12771e-05
POLM	8.9057889	0.55640098	1.3227468	0.1897197596	0.29425045566	7.4579977	1.25e-08
CD226	7.1075146	0.58858929	1.3223868	0.1898389727	0.29438618622	23.6663919	0
LRFN4	6.2970733	-0.60212566	-1.3223698	0.1898446289	0.29438618622	7.9925954	3.5e-09
CYP39A1	1.9949578	-0.60192617	-1.3217377	0.1900541176	0.29468204106	2.3264151	0.0155527285
EPS15L1	9.3388314	0.30319828	1.3214747	0.1901413625	0.29478831545	1.713069	0.085447485
TDRD3	7.9617899	0.53340437	1.3202146	0.1905596865	0.29540781148	2.7503734	0.0045541808
NUCB1.AS1	7.9237359	-0.34185992	-1.3196195	0.1907574941	0.29568020071	3.2694719	0.0009986519
ZMYM5	8.6826245	0.54835635	1.31956	0.1907772774	0.29568020071	5.9616586	5.445e-07
RCVRN	2.6390818	0.7126954	1.3195167	0.1907916783	0.29568020071	13.3147755	0
LPIN1	8.9372395	-0.51554144	-1.3194249	0.1908221968	0.2956984213	4.2133874	6.5289e-05
PAK1IP1	8.9528101	-0.26068512	-1.3191296	0.1909204219	0.29581415187	3.1038295	0.0016206992
FARP1	9.2505372	0.47961008	1.3190876	0.1909344183	0.29581415187	21.3069547	0
RECQL4	6.683153	0.58436815	1.3187944	0.1910319961	0.29591565105	4.4864884	3.01311e-05
RBM15B	9.4495893	0.36921206	1.3187779	0.1910374817	0.29591565105	4.6912868	1.69704e-05
POLA2	9.2475283	-0.47304809	-1.3185435	0.1911155239	0.29600744612	2.7005428	0.0052663791
SNRPA1	8.6628919	-0.26662765	-1.3182085	0.1912271067	0.29615116724	2.3567801	0.0142546958
PIK3R4	9.3391207	-0.55113724	-1.3179264	0.1913210872	0.29626760225	4.9560551	8.1421e-06
ZNF578	2.8004974	0.67878177	1.3177262	0.1913877942	0.29634178456	5.9328487	5.873e-07
FZD3	7.190314	0.7374124	1.3174845	0.1914683792	0.29643743852	1.6199343	0.109077632
LINC01359	2.0130536	0.48547685	1.3172655	0.1915414281	0.29652140741	2.8011204	0.003927208
TFCP2	9.7546499	-0.45429863	-1.3167566	0.1917112207	0.29675511188	0.7346714	0.7022360506
TROVE2	10.4257193	-0.22721728	-1.3166878	0.1917341879	0.29676151784	3.5669257	0.0004197294
KCTD18	8.5606534	-0.59470267	-1.3164039	0.1918289504	0.29685151958	1.6024064	0.1141360869
SLC35G2	6.3468059	0.4560169	1.3164008	0.1918300062	0.29685151958	16.9382745	0
GPATCH4	8.7431764	-0.29561131	-1.3161146	0.1919255953	0.29697028341	1.597689	0.1155329928
